x,y,z,color,ncluster,label,sub_group_type,idd
3247.1201171875,5319.06005859375,1589.27001953125,#000000,6,5,SP1,1
4461.1298828125,5340.25,1747.9300537109375,#000000,6,5,SP1,1
4787.85986328125,2849.18994140625,1596.719970703125,#000000,6,5,SP1,1
2372.050048828125,991.719970703125,1535.530029296875,#000000,6,5,SP1,1
3566.070068359375,4577.419921875,1870.68994140625,#000000,6,5,SP1,1
4266.89013671875,5239.0498046875,1698.6199951171875,#50b131,6,2,SP1,1
4457.330078125,2459.330078125,1463.050048828125,#000000,6,5,SP1,1
5661.419921875,3313.239990234375,1634.949951171875,#000000,6,5,SP1,1
531.8200073242189,485.4400024414063,1903.5899658203125,#000000,6,5,SP1,1
4285.509765625,5086.56005859375,1468.9599609375,#50b131,6,2,SP1,1
1595.68994140625,3995.35009765625,1878.77001953125,#000000,6,5,SP1,1
4646.08984375,1114.8900146484377,1452.800048828125,#f77189,6,0,SP1,1
3442.389892578125,4357.27001953125,1858.3499755859373,#3ba3ec,6,4,SP1,1
4753.47998046875,4816.97021484375,1916.18994140625,#000000,6,5,SP1,1
2764.25,3595.6201171875,1550.6600341796875,#000000,6,5,SP1,1
3939.929931640625,2502.77001953125,1493.7900390625,#000000,6,5,SP1,1
112.06999969482422,3262.0,1854.5699462890625,#000000,6,5,SP1,1
193.0399932861328,2553.75,1263.6700439453125,#000000,6,5,SP1,1
4341.85986328125,1350.5999755859375,1921.4599609375,#f77189,6,0,SP1,1
1839.5699462890625,1242.6600341796875,1332.260009765625,#000000,6,5,SP1,1
5801.02001953125,2950.510009765625,1652.8499755859375,#000000,6,5,SP1,1
3112.56005859375,1923.469970703125,1382.530029296875,#000000,6,5,SP1,1
2380.60009765625,1629.1099853515625,1331.6400146484375,#000000,6,5,SP1,1
2450.820068359375,2106.47998046875,1409.2099609375,#000000,6,5,SP1,1
5454.14990234375,3483.72998046875,1364.260009765625,#000000,6,5,SP1,1
1921.4100341796875,812.1099853515625,1672.77001953125,#000000,6,5,SP1,1
1937.06005859375,809.6799926757812,1740.4000244140625,#000000,6,5,SP1,1
1597.0,1135.22998046875,1900.4100341796875,#000000,6,5,SP1,1
2164.090087890625,4840.31982421875,1874.199951171875,#000000,6,5,SP1,1
2265.510009765625,2526.27001953125,1401.219970703125,#bb9832,6,1,SP1,1
2237.22998046875,2510.669921875,1311.25,#bb9832,6,1,SP1,1
2928.14990234375,4512.77001953125,1826.719970703125,#000000,6,5,SP1,1
1651.5699462890625,1139.1500244140625,1513.68994140625,#000000,6,5,SP1,1
5037.39990234375,1000.030029296875,1437.1400146484375,#000000,6,5,SP1,1
4259.669921875,1294.8299560546875,1627.06005859375,#f77189,6,0,SP1,1
2476.860107421875,1754.800048828125,1928.68994140625,#000000,6,5,SP1,1
676.3900146484375,2493.0400390625,1539.3199462890625,#000000,6,5,SP1,1
4504.27978515625,2741.10009765625,1745.22998046875,#000000,6,5,SP1,1
4633.93017578125,1347.8599853515625,1623.8399658203125,#f77189,6,0,SP1,1
3640.7099609375,653.8499755859375,1458.199951171875,#000000,6,5,SP1,1
1479.97998046875,606.27001953125,1917.2099609375,#000000,6,5,SP1,1
2640.7099609375,1041.3599853515623,1385.1199951171875,#000000,6,5,SP1,1
4965.81005859375,1252.280029296875,1673.06005859375,#000000,6,5,SP1,1
3013.6298828125,2159.3798828125,1464.300048828125,#000000,6,5,SP1,1
4019.719970703125,4806.68994140625,1570.4100341796875,#000000,6,5,SP1,1
4002.389892578125,4792.990234375,1482.469970703125,#000000,6,5,SP1,1
5317.4501953125,2900.969970703125,1740.8800048828125,#000000,6,5,SP1,1
4300.89013671875,2117.330078125,1312.06005859375,#000000,6,5,SP1,1
2085.179931640625,2889.22998046875,1604.0799560546875,#bb9832,6,1,SP1,1
2040.199951171875,678.25,1626.4200439453125,#000000,6,5,SP1,1
5718.06005859375,4538.91015625,1546.1600341796875,#000000,6,5,SP1,1
2189.81005859375,4423.7998046875,1450.510009765625,#000000,6,5,SP1,1
2463.93994140625,1979.31005859375,1520.97998046875,#000000,6,5,SP1,1
4361.08984375,4807.64013671875,1504.5,#000000,6,5,SP1,1
1733.1099853515625,1059.4599609375,1912.2099609375,#000000,6,5,SP1,1
4735.97021484375,1710.5899658203125,1692.3199462890625,#000000,6,5,SP1,1
5601.6298828125,4451.85986328125,1905.9000244140625,#000000,6,5,SP1,1
2677.27001953125,2384.97998046875,1378.77001953125,#000000,6,5,SP1,1
5457.25,4642.83984375,1517.47998046875,#000000,6,5,SP1,1
4421.02001953125,2274.4599609375,1444.06005859375,#000000,6,5,SP1,1
4584.7001953125,3499.090087890625,1401.800048828125,#000000,6,5,SP1,1
568.8900146484375,2391.9599609375,1333.9300537109375,#000000,6,5,SP1,1
5240.7998046875,2144.389892578125,1629.0999755859375,#000000,6,5,SP1,1
2108.60009765625,4451.240234375,1580.56005859375,#000000,6,5,SP1,1
2828.1298828125,5607.22021484375,1866.3599853515625,#000000,6,5,SP1,1
2840.68994140625,3404.429931640625,1908.6400146484373,#000000,6,5,SP1,1
4908.7998046875,5148.9501953125,1394.3499755859375,#000000,6,5,SP1,1
5542.14990234375,4052.5,1469.1600341796875,#000000,6,5,SP1,1
3601.85009765625,1727.4300537109375,1401.43994140625,#000000,6,5,SP1,1
1128.550048828125,4821.9501953125,1833.1800537109373,#000000,6,5,SP1,1
2974.469970703125,131.78999328613278,1503.510009765625,#000000,6,5,SP1,1
2986.199951171875,81.69000244140625,1480.1500244140625,#000000,6,5,SP1,1
4621.47998046875,4950.259765625,1913.97998046875,#000000,6,5,SP1,1
5474.259765625,4685.35986328125,1680.489990234375,#000000,6,5,SP1,1
4269.1298828125,5129.60009765625,1906.3299560546875,#000000,6,5,SP1,1
5701.830078125,2636.72998046875,1676.8199462890625,#000000,6,5,SP1,1
168.13999938964844,2234.31005859375,1475.8800048828125,#000000,6,5,SP1,1
4112.10986328125,5151.39990234375,1680.260009765625,#50b131,6,2,SP1,1
5530.509765625,2940.8798828125,1625.5,#000000,6,5,SP1,1
534.8499755859375,690.530029296875,1577.4300537109375,#000000,6,5,SP1,1
3629.22998046875,5433.5400390625,1902.1700439453125,#000000,6,5,SP1,1
1461.5999755859375,4895.35009765625,1846.77001953125,#000000,6,5,SP1,1
4453.35009765625,4435.080078125,1614.77001953125,#000000,6,5,SP1,1
2699.6298828125,449.70001220703125,1693.699951171875,#000000,6,5,SP1,1
3546.3701171875,887.3400268554688,1524.1199951171875,#000000,6,5,SP1,1
3762.239990234375,1184.25,1654.6400146484375,#000000,6,5,SP1,1
3988.280029296875,436.2300109863281,1436.7900390625,#000000,6,5,SP1,1
1893.72998046875,5597.4599609375,1656.5799560546875,#000000,6,5,SP1,1
3862.31005859375,1538.3800048828125,1587.3599853515625,#000000,6,5,SP1,1
1775.989990234375,4877.10986328125,1655.780029296875,#000000,6,5,SP1,1
1760.3699951171875,4956.52001953125,1678.77001953125,#000000,6,5,SP1,1
3165.2900390625,2056.25,1488.8199462890625,#000000,6,5,SP1,1
3103.860107421875,2074.0,1457.4100341796875,#000000,6,5,SP1,1
3490.8798828125,2205.89990234375,1598.1099853515625,#000000,6,5,SP1,1
2080.669921875,5637.41015625,1563.6800537109375,#000000,6,5,SP1,1
4533.3798828125,5122.56982421875,1660.7900390625,#000000,6,5,SP1,1
4540.77978515625,5190.509765625,1679.1099853515625,#000000,6,5,SP1,1
4548.39990234375,5245.9501953125,1591.300048828125,#000000,6,5,SP1,1
3892.330078125,3512.610107421875,1497.3499755859375,#000000,6,5,SP1,1
352.9700012207031,2505.239990234375,1407.6099853515625,#000000,6,5,SP1,1
266.29998779296875,2509.679931640625,1508.239990234375,#000000,6,5,SP1,1
302.42999267578125,2505.5,1450.3900146484375,#000000,6,5,SP1,1
407.3999938964844,2493.260009765625,1332.4100341796875,#000000,6,5,SP1,1
419.5199890136719,1293.1199951171875,1672.550048828125,#000000,6,5,SP1,1
400.2099914550781,1328.0,1612.449951171875,#000000,6,5,SP1,1
1098.8499755859377,4149.06005859375,1620.6300048828125,#000000,6,5,SP1,1
1057.6099853515623,4146.97998046875,1551.8900146484375,#000000,6,5,SP1,1
2206.159912109375,2659.2099609375,1621.699951171875,#bb9832,6,1,SP1,1
2197.739990234375,2740.280029296875,1613.1600341796875,#bb9832,6,1,SP1,1
2269.10009765625,2766.9599609375,1609.81005859375,#bb9832,6,1,SP1,1
2301.31005859375,2815.64990234375,1584.6400146484375,#bb9832,6,1,SP1,1
329.7900085449219,958.8499755859376,1779.5999755859375,#000000,6,5,SP1,1
2678.0400390625,5097.9501953125,1487.239990234375,#000000,6,5,SP1,1
2717.550048828125,5127.02001953125,1562.1300048828125,#000000,6,5,SP1,1
5342.39013671875,5489.68994140625,1465.1199951171875,#000000,6,5,SP1,1
5335.72998046875,5537.02001953125,1415.050048828125,#000000,6,5,SP1,1
1105.6199951171877,838.280029296875,1871.0899658203125,#000000,6,5,SP1,1
1085.1400146484377,922.4400024414064,1903.5899658203125,#000000,6,5,SP1,1
4271.330078125,1949.3399658203125,1405.1500244140625,#000000,6,5,SP1,1
2107.989990234375,2593.89990234375,1404.530029296875,#bb9832,6,1,SP1,1
2165.489990234375,2627.2900390625,1429.800048828125,#bb9832,6,1,SP1,1
2225.27001953125,2673.31005859375,1486.6300048828125,#bb9832,6,1,SP1,1
2881.429931640625,712.2899780273438,1392.699951171875,#000000,6,5,SP1,1
5058.81005859375,5124.93994140625,1407.2900390625,#000000,6,5,SP1,1
5003.4501953125,5159.33984375,1459.22998046875,#000000,6,5,SP1,1
604.7100219726562,2585.89990234375,1454.8800048828125,#000000,6,5,SP1,1
1152.4300537109375,5383.68017578125,1569.219970703125,#000000,6,5,SP1,1
4893.31982421875,587.0800170898438,1651.06005859375,#000000,6,5,SP1,1
3264.300048828125,1929.93994140625,1579.550048828125,#000000,6,5,SP1,1
3282.93994140625,1935.8699951171875,1497.52001953125,#000000,6,5,SP1,1
5235.47021484375,4090.43994140625,1575.5799560546875,#000000,6,5,SP1,1
5198.27978515625,4110.77001953125,1515.760009765625,#000000,6,5,SP1,1
4115.490234375,308.95001220703125,1694.6099853515625,#000000,6,5,SP1,1
4153.0,313.7300109863281,1600.5999755859375,#000000,6,5,SP1,1
4088.550048828125,292.3999938964844,1589.219970703125,#000000,6,5,SP1,1
4696.759765625,1170.1500244140625,1628.52001953125,#f77189,6,0,SP1,1
2450.239990234375,2412.97998046875,1340.3399658203125,#bb9832,6,1,SP1,1
2398.77001953125,2351.820068359375,1335.52001953125,#bb9832,6,1,SP1,1
4795.47021484375,2509.300048828125,1617.02001953125,#000000,6,5,SP1,1
1213.6600341796875,1317.780029296875,1697.5,#000000,6,5,SP1,1
3787.89990234375,2138.340087890625,1758.550048828125,#000000,6,5,SP1,1
2963.75,429.0400085449219,1360.31005859375,#000000,6,5,SP1,1
5629.02001953125,1060.9000244140623,1665.9599609375,#36ada4,6,3,SP1,1
5589.27978515625,1070.9000244140623,1582.9100341796875,#36ada4,6,3,SP1,1
3209.18994140625,5194.9599609375,1850.2099609375,#000000,6,5,SP1,1
2774.3701171875,5411.830078125,1273.0699462890625,#000000,6,5,SP1,1
2721.739990234375,5451.14990234375,1313.1700439453125,#000000,6,5,SP1,1
3575.7900390625,2284.260009765625,1722.47998046875,#000000,6,5,SP1,1
3512.47998046875,2330.330078125,1686.8800048828125,#000000,6,5,SP1,1
3554.300048828125,2381.39990234375,1694.9000244140625,#000000,6,5,SP1,1
1816.0999755859373,3441.31005859375,1473.93994140625,#000000,6,5,SP1,1
1909.4200439453125,702.989990234375,1374.5799560546875,#000000,6,5,SP1,1
1936.469970703125,647.6500244140625,1332.699951171875,#000000,6,5,SP1,1
604.2899780273438,1148.5699462890625,1642.780029296875,#000000,6,5,SP1,1
679.4600219726562,1125.02001953125,1644.780029296875,#000000,6,5,SP1,1
4454.919921875,4585.080078125,1613.1099853515625,#000000,6,5,SP1,1
4431.5498046875,4651.4501953125,1618.7099609375,#000000,6,5,SP1,1
2131.06005859375,1802.239990234375,1477.0,#000000,6,5,SP1,1
3047.1201171875,724.530029296875,1459.06005859375,#000000,6,5,SP1,1
2969.18994140625,658.47998046875,1465.6800537109375,#000000,6,5,SP1,1
4193.2998046875,5281.1298828125,1589.52001953125,#50b131,6,2,SP1,1
4219.39013671875,5344.27001953125,1612.9100341796875,#50b131,6,2,SP1,1
3774.070068359375,682.239990234375,1617.1400146484375,#000000,6,5,SP1,1
710.969970703125,1033.9000244140623,1288.9100341796875,#000000,6,5,SP1,1
4459.52001953125,2585.56005859375,1597.219970703125,#000000,6,5,SP1,1
4420.2900390625,2620.889892578125,1653.989990234375,#000000,6,5,SP1,1
2295.159912109375,2654.39990234375,1433.5699462890625,#bb9832,6,1,SP1,1
2263.010009765625,2564.239990234375,1496.1300048828125,#bb9832,6,1,SP1,1
2298.43994140625,2576.820068359375,1427.1600341796875,#bb9832,6,1,SP1,1
2952.929931640625,3040.820068359375,1555.3699951171875,#000000,6,5,SP1,1
2994.679931640625,2991.43994140625,1593.9000244140625,#000000,6,5,SP1,1
2841.530029296875,554.3099975585939,1440.5699462890625,#000000,6,5,SP1,1
3289.330078125,4586.759765625,1417.719970703125,#3ba3ec,6,4,SP1,1
4403.75,3757.360107421875,1922.300048828125,#000000,6,5,SP1,1
1463.0899658203125,797.489990234375,1349.81005859375,#000000,6,5,SP1,1
1455.9200439453125,811.5499877929688,1462.5899658203125,#000000,6,5,SP1,1
1365.4100341796875,936.1699829101564,1461.3699951171875,#000000,6,5,SP1,1
1423.8299560546875,861.530029296875,1439.8499755859375,#000000,6,5,SP1,1
772.6500244140625,2847.590087890625,1665.8199462890625,#000000,6,5,SP1,1
755.010009765625,2908.739990234375,1642.449951171875,#000000,6,5,SP1,1
684.4299926757812,2877.929931640625,1583.27001953125,#000000,6,5,SP1,1
3845.43994140625,1730.0400390625,1697.1300048828125,#000000,6,5,SP1,1
3790.800048828125,1715.0,1632.3499755859375,#000000,6,5,SP1,1
1493.1800537109375,2624.159912109375,1267.31005859375,#000000,6,5,SP1,1
5637.6201171875,765.3499755859375,1538.6400146484375,#000000,6,5,SP1,1
3815.43994140625,2786.169921875,1381.780029296875,#000000,6,5,SP1,1
5521.56982421875,2839.610107421875,1557.300048828125,#000000,6,5,SP1,1
2356.7900390625,363.95001220703125,1552.8599853515625,#000000,6,5,SP1,1
1468.0799560546875,2858.659912109375,1301.1300048828125,#000000,6,5,SP1,1
5172.75,4878.22021484375,1564.7900390625,#000000,6,5,SP1,1
4100.580078125,1301.0699462890625,1396.010009765625,#f77189,6,0,SP1,1
4070.77001953125,1285.97998046875,1460.3199462890625,#f77189,6,0,SP1,1
2330.820068359375,4238.490234375,1881.8399658203125,#000000,6,5,SP1,1
3465.0400390625,3640.280029296875,1557.56005859375,#000000,6,5,SP1,1
5390.60986328125,1744.4000244140625,1449.550048828125,#000000,6,5,SP1,1
5531.02001953125,1415.3499755859375,1587.3599853515625,#36ada4,6,3,SP1,1
5574.669921875,1375.0999755859375,1595.0,#36ada4,6,3,SP1,1
5529.81982421875,1317.52001953125,1663.97998046875,#36ada4,6,3,SP1,1
5438.22021484375,5290.85986328125,1638.510009765625,#000000,6,5,SP1,1
5196.93017578125,4423.7001953125,1444.52001953125,#000000,6,5,SP1,1
5627.7001953125,1214.030029296875,1625.77001953125,#36ada4,6,3,SP1,1
5685.93994140625,1236.0899658203125,1706.02001953125,#36ada4,6,3,SP1,1
5556.77001953125,1209.7900390625,1505.97998046875,#36ada4,6,3,SP1,1
5560.06005859375,1255.06005859375,1701.9300537109375,#36ada4,6,3,SP1,1
4076.260009765625,3426.179931640625,1434.75,#000000,6,5,SP1,1
4135.7099609375,3399.64990234375,1387.699951171875,#000000,6,5,SP1,1
4276.7001953125,5248.669921875,1345.27001953125,#50b131,6,2,SP1,1
4301.43017578125,5267.2001953125,1409.699951171875,#50b131,6,2,SP1,1
4368.7998046875,5259.52978515625,1494.27001953125,#50b131,6,2,SP1,1
381.7300109863281,2345.800048828125,1612.1099853515625,#000000,6,5,SP1,1
394.5899963378906,2416.580078125,1543.6400146484375,#000000,6,5,SP1,1
3087.860107421875,4501.0,1610.4300537109375,#3ba3ec,6,4,SP1,1
3111.06005859375,4499.080078125,1520.8299560546875,#3ba3ec,6,4,SP1,1
3161.800048828125,482.8299865722656,1701.5799560546875,#000000,6,5,SP1,1
3408.530029296875,3825.679931640625,1366.3399658203125,#000000,6,5,SP1,1
3466.89990234375,3820.929931640625,1502.3399658203125,#000000,6,5,SP1,1
3206.949951171875,679.27001953125,1573.0,#000000,6,5,SP1,1
3176.419921875,734.9400024414062,1559.0699462890625,#000000,6,5,SP1,1
4787.93017578125,5094.18017578125,1444.6199951171875,#000000,6,5,SP1,1
4737.080078125,5147.009765625,1527.6400146484375,#000000,6,5,SP1,1
3029.10009765625,4870.9599609375,1637.4300537109375,#000000,6,5,SP1,1
2992.4599609375,4901.89013671875,1580.02001953125,#000000,6,5,SP1,1
2001.3900146484373,4077.64990234375,1557.9200439453125,#000000,6,5,SP1,1
2660.419921875,4086.7900390625,1504.8199462890625,#000000,6,5,SP1,1
585.4099731445312,2803.179931640625,1483.3900146484375,#000000,6,5,SP1,1
563.530029296875,2704.239990234375,1398.949951171875,#000000,6,5,SP1,1
3097.489990234375,3059.4599609375,1472.2900390625,#000000,6,5,SP1,1
2371.780029296875,537.27001953125,1469.8599853515625,#000000,6,5,SP1,1
3109.570068359375,4816.740234375,1480.4000244140625,#000000,6,5,SP1,1
3085.080078125,554.4400024414064,1563.1300048828125,#000000,6,5,SP1,1
3012.070068359375,557.0900268554689,1636.97998046875,#000000,6,5,SP1,1
1942.219970703125,616.77001953125,1637.550048828125,#000000,6,5,SP1,1
1998.0400390625,620.260009765625,1540.3299560546875,#000000,6,5,SP1,1
2222.580078125,2424.919921875,1462.18994140625,#bb9832,6,1,SP1,1
2248.06005859375,2449.469970703125,1548.47998046875,#bb9832,6,1,SP1,1
2310.81005859375,2908.4599609375,1780.7900390625,#000000,6,5,SP1,1
5424.5,1127.18994140625,1513.8699951171875,#36ada4,6,3,SP1,1
2972.5,5492.580078125,1341.6400146484375,#000000,6,5,SP1,1
1498.1400146484375,1360.0400390625,1913.9000244140625,#000000,6,5,SP1,1
1517.8399658203125,1032.81005859375,1486.449951171875,#000000,6,5,SP1,1
1543.6600341796875,909.22998046875,1519.489990234375,#000000,6,5,SP1,1
1422.4599609375,1097.719970703125,1476.4000244140625,#000000,6,5,SP1,1
551.8800048828125,1596.050048828125,1357.93994140625,#000000,6,5,SP1,1
1329.030029296875,5313.259765625,1515.199951171875,#000000,6,5,SP1,1
1243.9300537109375,5227.02001953125,1532.8199462890625,#000000,6,5,SP1,1
557.75,1183.52001953125,1483.3499755859375,#000000,6,5,SP1,1
618.1799926757812,1129.969970703125,1389.0,#000000,6,5,SP1,1
879.5900268554688,841.1599731445312,1914.3399658203125,#000000,6,5,SP1,1
2371.300048828125,2108.260009765625,1679.0899658203125,#000000,6,5,SP1,1
2818.68994140625,235.00999450683602,1516.489990234375,#000000,6,5,SP1,1
2811.85009765625,278.95001220703125,1646.4200439453125,#000000,6,5,SP1,1
2878.340087890625,236.5,1582.97998046875,#000000,6,5,SP1,1
4384.740234375,1143.6099853515625,1638.3699951171875,#f77189,6,0,SP1,1
4431.16015625,1155.719970703125,1449.2099609375,#f77189,6,0,SP1,1
4453.47998046875,1183.77001953125,1626.8199462890625,#f77189,6,0,SP1,1
4490.1298828125,1162.010009765625,1574.06005859375,#f77189,6,0,SP1,1
4480.27978515625,1238.300048828125,1713.81005859375,#f77189,6,0,SP1,1
4350.22998046875,1233.8399658203125,1719.699951171875,#f77189,6,0,SP1,1
4538.9599609375,1420.6099853515625,1709.5699462890625,#f77189,6,0,SP1,1
4607.0400390625,1474.719970703125,1591.280029296875,#f77189,6,0,SP1,1
4488.60009765625,1387.8800048828125,1633.81005859375,#f77189,6,0,SP1,1
4502.169921875,1375.239990234375,1768.8499755859375,#f77189,6,0,SP1,1
4532.60986328125,1435.6500244140625,1666.72998046875,#f77189,6,0,SP1,1
523.8200073242189,3145.35009765625,1835.8699951171875,#000000,6,5,SP1,1
2293.610107421875,5553.52978515625,1375.6199951171875,#000000,6,5,SP1,1
2367.919921875,5503.72021484375,1299.72998046875,#000000,6,5,SP1,1
5577.10009765625,3264.6201171875,1531.219970703125,#000000,6,5,SP1,1
5644.77978515625,3177.52001953125,1516.780029296875,#000000,6,5,SP1,1
5707.490234375,3147.669921875,1657.300048828125,#000000,6,5,SP1,1
4346.14013671875,1557.8699951171875,1882.3299560546875,#f77189,6,0,SP1,1
351.9800109863281,512.4000244140625,1508.1700439453125,#000000,6,5,SP1,1
414.5299987792969,497.4200134277344,1393.219970703125,#000000,6,5,SP1,1
4943.8701171875,2635.8798828125,1583.739990234375,#000000,6,5,SP1,1
4912.85009765625,2712.02001953125,1593.760009765625,#000000,6,5,SP1,1
2951.550048828125,1311.52001953125,1631.9599609375,#000000,6,5,SP1,1
3400.659912109375,4362.06005859375,1598.8800048828125,#3ba3ec,6,4,SP1,1
3378.360107421875,4340.259765625,1437.4000244140625,#3ba3ec,6,4,SP1,1
3453.419921875,4336.5400390625,1528.6600341796875,#3ba3ec,6,4,SP1,1
